City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Esperance,AU,-33.8667,121.9,52.57,81,55,17.76,broken clouds
80,Fort-Shevchenko,KZ,44.5086,50.263,76.75,74,76,14.74,broken clouds
81,Taltal,CL,-25.4,-70.4833,59.0,85,9,3.09,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,12.66,scattered clouds
83,Georgetown,MY,5.4112,100.3354,80.89,93,20,3.44,few clouds
84,Tautira,PF,-17.7333,-149.15,74.8,78,18,9.82,light rain
85,Sayyan,YE,15.1718,44.3244,63.7,65,68,1.52,broken clouds
86,Staryy Krym,UA,45.0333,35.1,63.63,47,3,8.57,clear sky
87,Cermik,TR,38.1361,39.4493,73.44,44,0,7.0,clear sky
88,Serebryansk,KZ,49.6925,83.2892,58.37,98,100,1.77,overcast clouds
89,Basco,PH,20.4487,121.9702,85.41,78,15,12.19,few clouds
90,Hami,CN,42.8,93.45,73.08,26,0,2.39,clear sky
91,Pervomayskiy,RU,53.2485,40.2871,56.64,91,96,11.59,light rain
92,Narsaq,GL,60.9167,-46.05,59.22,78,11,5.3,few clouds
93,Adilcevaz,TR,38.8039,42.7342,68.76,44,0,7.2,clear sky
94,Dwarka,IN,22.2394,68.9678,82.54,81,100,18.95,overcast clouds
95,Bethel,US,41.3712,-73.414,91.63,70,0,10.36,clear sky
96,Kalach-Na-Donu,RU,48.691,43.5264,65.79,52,90,7.38,overcast clouds
97,Lebu,CL,-37.6167,-73.65,50.99,89,99,11.03,light rain
98,Mount Isa,AU,-20.7333,139.5,46.17,46,0,4.61,clear sky
99,Bluff,NZ,-46.6,168.3333,42.8,81,90,8.12,overcast clouds
100,Kodiak,US,57.79,-152.4072,53.11,87,100,4.61,overcast clouds
101,Sinnamary,GF,5.3833,-52.95,78.01,85,31,7.87,scattered clouds
102,Jumla,NP,29.2747,82.1838,62.76,97,100,1.21,overcast clouds
103,Tessalit,ML,20.1986,1.0114,88.32,36,62,8.63,broken clouds
104,Kalmunai,LK,7.4167,81.8167,79.14,82,98,4.97,overcast clouds
105,Sinjar,IQ,36.3209,41.8754,84.15,36,0,13.24,clear sky
106,Hobart,AU,-42.8794,147.3294,44.26,88,20,6.91,few clouds
107,Severo-Kurilsk,RU,50.6789,156.125,53.83,96,100,25.26,heavy intensity rain
108,Muisne,EC,0.6,-80.0333,73.58,84,100,8.46,overcast clouds
109,Ola,RU,59.5833,151.2833,71.15,63,89,2.44,overcast clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,78.76,93,53,4.0,broken clouds
111,Paamiut,GL,61.994,-49.6678,46.83,86,7,9.44,clear sky
112,Butaritari,KI,3.0707,172.7902,81.48,73,57,5.41,broken clouds
113,Mitsamiouli,KM,-11.3847,43.2844,75.02,72,6,5.59,clear sky
114,Pacific Grove,US,36.6177,-121.9166,84.24,80,40,12.66,scattered clouds
115,Baykit,RU,61.67,96.37,59.61,79,21,2.42,few clouds
116,Saint-Joseph,RE,-21.3667,55.6167,64.2,78,34,11.72,light rain
117,La Union,PE,-5.4,-80.75,75.24,49,37,13.67,scattered clouds
118,Katsuura,JP,35.1333,140.3,80.62,85,41,15.84,scattered clouds
119,Lakes Entrance,AU,-37.8811,147.981,49.53,77,3,9.66,clear sky
120,Portland,US,45.5234,-122.6762,88.77,50,40,7.0,scattered clouds
121,Saskylakh,RU,71.9167,114.0833,50.92,65,100,7.29,overcast clouds
122,Grand Gaube,MU,-20.0064,57.6608,69.39,72,80,8.01,broken clouds
123,Saint George,US,37.1041,-113.5841,111.63,11,0,11.01,clear sky
124,Carnarvon,AU,-24.8667,113.6333,60.28,76,43,16.31,scattered clouds
125,Azangaro,PE,-14.9167,-70.2167,46.94,21,23,5.82,few clouds
126,Qaanaaq,GL,77.484,-69.3632,43.75,91,100,10.49,light rain
127,Karakol,KG,42.4907,78.3936,61.97,40,0,4.7,clear sky
128,Tongchuan,CN,35.0806,109.0897,66.13,94,100,8.99,heavy intensity rain
129,Enshi,CN,30.3,109.4833,74.19,98,83,2.19,broken clouds
130,Mana,GF,5.6592,-53.7767,78.28,85,21,8.88,few clouds
131,Bambanglipuro,ID,-7.95,110.2833,75.2,84,100,8.95,overcast clouds
132,Saint-Denis,FR,48.9167,2.3333,72.09,79,0,10.36,clear sky
133,Junction City,US,39.0286,-96.8314,102.4,32,0,6.91,clear sky
134,Sitka,US,57.0531,-135.33,57.09,82,100,0.0,overcast clouds
135,Avera,US,33.194,-82.5271,89.38,65,100,7.0,overcast clouds
136,Bonnyville,CA,54.2668,-110.735,78.6,54,81,12.12,broken clouds
137,Margate,GB,51.3813,1.3862,64.9,79,14,3.0,few clouds
138,Talnakh,RU,69.4865,88.3972,52.21,75,16,5.08,few clouds
139,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,2.3,broken clouds
140,Teonthar,IN,24.9833,81.65,82.63,81,100,1.59,overcast clouds
141,Moose Factory,CA,51.2585,-80.6094,60.8,94,100,11.5,overcast clouds
142,Torbay,CA,47.6666,-52.7314,68.77,71,75,9.22,broken clouds
