City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
129,Enshi,CN,74.19,broken clouds,30.3,109.4833,Moevenpick Enshi
130,Mana,GF,78.28,few clouds,5.6592,-53.7767,LE SAMANA
131,Bambanglipuro,ID,75.2,overcast clouds,-7.95,110.2833,Puri Brata
132,Saint-Denis,FR,72.09,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
135,Avera,US,89.38,overcast clouds,33.194,-82.5271,
136,Bonnyville,CA,78.6,broken clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
139,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
140,Teonthar,IN,82.63,overcast clouds,24.9833,81.65,Mukesh Kumar Charmkar
142,Torbay,CA,68.77,broken clouds,47.6666,-52.7314,Gallows Cove
143,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
144,Ko Samui,TH,82.92,light rain,9.5357,99.9357,The Passage
145,Praia Da Vitoria,PT,73.65,few clouds,38.7333,-27.0667,Hotel Branco I
147,Pasni,PK,82.78,light rain,25.2631,63.471000000000004,Kashmiri Hotal
149,Kahului,US,84.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
151,Sakakah,SA,94.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
152,Axim,GH,73.65,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
153,Nishihara,JP,85.28,few clouds,26.1842,127.7558,Minshuku Agaihama
154,Nioro,GM,76.39,moderate rain,13.35,-15.75,
155,Abbotsford,CA,85.23,broken clouds,49.058,-122.2526,Coast Abbotsford Hotel & Suites
157,Aklavik,CA,66.2,broken clouds,68.2191,-135.0107,Aklavik Inn
160,Deutschlandsberg,AT,75.9,overcast clouds,46.8153,15.2222,JUFA Hotel Schilcherland
162,Athabasca,CA,75.61,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
163,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
164,Port Hawkesbury,CA,82.35,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
165,Sayat,TM,84.07,clear sky,38.7839,63.8803,
166,Alexandria,EG,77.49,clear sky,31.2156,29.9553,Royal Crown Hotel
169,Asyut,EG,83.68,clear sky,27.180999999999997,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
170,Luwuk,ID,77.65,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
171,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
172,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
176,Hebi,CN,76.89,overcast clouds,35.8992,114.1925,Wangfu Hotel
179,Maryville,US,86.25,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
180,Bastia,FR,81.3,clear sky,42.6667,9.3333,Hotel Santa Maria
181,Whitehorse,CA,65.17,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
182,Alyangula,AU,70.72,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
183,Punta Cardon,VE,81.01,scattered clouds,11.6581,-70.215,Bambuda hotel
184,Araouane,ML,94.06,light rain,18.9048,-3.5265,
186,Cap Malheureux,MU,69.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
187,Sola,VU,80.28,moderate rain,-13.8833,167.55,Leumerus Bungalows
191,Kidal,ML,88.12,broken clouds,18.4411,1.4078,
194,Aksu,CN,75.4,clear sky,41.1231,80.2644,Pudong Holiday Hotel
196,Maku,IR,69.78,clear sky,39.2911,44.4521,Maku Tourist Hotel
197,Daru,PG,78.31,broken clouds,-9.0763,143.2092,Daru Lodge
200,Malya,TZ,68.05,overcast clouds,-2.9833,33.5167,
201,Khandyga,RU,77.54,scattered clouds,62.6667,135.6,Apel'sin
203,Puerto Escondido,MX,84.52,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
204,Mangrol,IN,81.54,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
208,Ribeira Grande,PT,73.45,broken clouds,38.5167,-28.7,Quinta da Meia Eira
210,Ingham,US,87.42,broken clouds,42.6,-84.3833,Sunset Mobile Home Park
211,Plymouth,US,83.98,broken clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
212,Buta,CD,70.27,light rain,2.7858,24.73,Hôtel BOPANDO
217,Tomatlan,MX,89.69,broken clouds,19.9333,-105.25,El Salvial
218,Ipameri,BR,68.09,scattered clouds,-17.7219,-48.1597,Real Hotel
219,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
220,Berasia,IN,74.64,overcast clouds,23.6333,77.4333,np__nitin home
222,Voi,KE,65.37,scattered clouds,-3.3945,38.563,Voi Wildlife Lodge
223,Kirakira,SB,83.37,overcast clouds,-10.4544,161.9205,SanBiz Lodge
224,Batticaloa,LK,79.56,overcast clouds,7.7102,81.6924,Grand Star Guest House
225,Abonnema,NG,75.33,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
226,Awjilah,LY,77.95,clear sky,29.1081,21.2869,المنزل
227,Ambulu,ID,71.83,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
228,Bud,US,89.92,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
231,Bilma,NE,93.02,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
232,Najran,SA,86.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
233,Bayonet Point,US,90.95,overcast clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
235,Abong Mbang,CM,67.95,overcast clouds,3.9833,13.1833,Auberge Angle Sur
236,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
238,Colares,PT,68.29,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
240,Monrovia,LR,76.68,overcast clouds,6.3005,-10.7969,Sunset Inn
242,Zemio,CF,68.07,light rain,5.0314,25.1361,OCHA Office
243,Saint-Leu,RE,65.23,few clouds,-21.15,55.2833,La Caz Oceane
244,Muros,ES,68.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
245,Buin,CL,68.32,clear sky,-33.7333,-70.75,Paihuen
246,Fukue,JP,78.04,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
247,Qala,AZ,76.89,clear sky,40.4418,50.1681,Shuvelan Cottage House
249,Deer Lake,CA,71.46,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
254,Shingu,JP,84.04,clear sky,33.7333,135.9833,Shingu UI Hotel
255,College,US,66.2,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
256,Catuday,PH,81.34,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
